Date,Signal,Open,High,Low,Close,Volume,RUSS_Close,NYSE_Close,NASDAQ_Close,SP_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
31-12-15,2,17590.66,17590.66,17421.16,17425.03,93690000,1135.89,10143.42,5007.41,2043.94,6242.3,1061.1,,6.4812,0.9146,0.6748,120.45
04-01-16,1,17405.48,17405.48,16957.63,17148.94,148060000,1108.62,10001.56,4903.09,2012.66,6093.4,1074.61,18450.98,6.4837,0.9213,0.6786,120.311
05-01-16,2,17147.5,17195.84,17038.61,17158.66,105750000,1110.44,10028.06,4891.43,2016.71,6137.2,1077.68,18374,6.5254,0.9236,0.6796,119.467
06-01-16,2,17154.83,17154.83,16817.62,16906.51,120250000,1094.37,9868.26,4835.76,1990.26,6073.4,1093.67,18191.32,6.5125,0.9301,0.6815,119.102
07-01-16,2,16888.36,16888.36,16463.63,16514.1,176240000,1064.57,9650.42,4689.43,1943.09,5954.1,1108.97,17767.34,6.5467,0.9277,0.6835,118.61
08-01-16,1,16519.17,16651.89,16314.57,16346.45,141850000,1046.2,9528.77,4643.63,1922.03,5912.4,1104.15,17697.96,6.5829,0.9153,0.6837,117.54
11-01-16,1,16358.71,16461.85,16232.03,16398.57,127790000,1041.9,9527.66,4637.99,1923.67,5871.8,1094.2,,6.5865,0.914,0.6885,117.08
12-01-16,2,16419.11,16591.35,16322.07,16516.22,117480000,1044.7,9576.52,4685.92,1938.68,5929.2,1086.56,17218.96,6.5595,0.921,0.6876,117.65
13-01-16,1,16526.63,16593.51,16123.2,16151.41,153530000,1010.19,9374.23,4526.06,1890.28,5961,1093.59,17715.63,6.5625,0.9222,0.6927,117.83
14-01-16,2,16159.01,16482.05,16075.12,16379.05,158830000,1025.67,9516.55,4615,1921.84,5918.2,1078.38,17240.95,6.5654,0.9186,0.6941,117.425
15-01-16,1,16354.33,16354.33,15842.11,15988.08,239210000,1007.72,9299.63,4488.42,1880.33,5804.1,1088.88,17147.11,6.5802,0.9209,0.6931,118.203
19-01-16,2,16009.45,16171.96,15900.25,16016.02,144360000,994.87,9301.74,4476.95,1881.33,5876.8,1087.41,17048.37,6.5689,0.9179,0.7016,117.384
20-01-16,1,15989.45,15989.45,15450.56,15766.74,191870000,999.31,9156.84,4471.69,1859.33,5673.6,1100.92,16416.19,6.5686,0.9163,0.7051,117.565
21-01-16,1,15768.87,16038.59,15704.66,15882.68,145140000,997.34,9226.57,4472.06,1868.99,5773.8,1101.2,16017.26,6.5684,0.9194,0.7043,117.134
22-01-16,2,15921.1,16136.79,15921.1,16093.51,145850000,1020.66,9426.91,4591.18,1906.9,5900,1097.95,16958.53,6.57,0.9206,0.7029,117.924
25-01-16,1,16086.46,16086.46,15880.15,15885.22,123250000,997.37,9262.99,4518.49,1877.08,5877,1107.9,17110.91,6.5691,0.926,0.7013,118.572
26-01-16,2,15893.16,16185.79,15893.16,16167.23,118210000,1017.97,9429.11,4567.67,1903.63,5911.5,1119.91,16708.9,6.5694,0.9214,0.7021,118.228
27-01-16,1,16168.74,16235.03,15878.3,15944.46,138350000,1002.75,9373.78,4468.17,1882.95,5990.4,1124.97,17163.92,6.5725,0.9204,0.6972,118.38
28-01-16,1,15960.28,16102.14,15863.72,16069.64,130120000,1003.27,9397.79,4506.68,1893.36,5931.8,1115.33,17041.45,6.5678,0.9168,0.7018,118.467
29-01-16,2,16090.26,16466.3,16090.26,16466.3,217940000,1035.38,9632.7,4613.95,1940.24,6083.8,1118.21,17518.3,6.5652,0.9143,0.6963,118.93
01-02-16,2,16453.63,16510.98,16299.47,16449.18,114450000,1032.39,9616.69,4620.37,1939.38,6060.1,1128.41,17865.23,6.5661,0.9237,0.702,121.34
02-02-16,1,16420.21,16420.21,16108.44,16153.54,126210000,1008.84,9413.78,4516.95,1903.03,5922,1129.01,17750.68,6.5684,0.9177,0.6931,120.84
03-02-16,1,16186.2,16381.69,15960.45,16336.66,141870000,1010.3,9495.21,4504.24,1912.53,5837.1,1142.63,17191.25,6.5698,0.9156,0.694,119.856
04-02-16,2,16329.67,16485.84,16266.16,16416.58,131490000,1014.79,9534.3,4509.56,1915.45,5898.8,1155.59,17044.99,6.567,0.9016,0.6856,118.12
05-02-16,2,16417.95,16423.63,16129.81,16204.97,139010000,985.62,9390.33,4363.14,1880.05,5848.1,1173.4,16819.59,6.5548,0.8929,0.6858,116.866
08-02-16,2,16147.51,16147.51,15803.55,16027.05,165880000,969.34,9231.33,4283.75,1853.44,5689.4,1189.23,17004.3,6.5639,0.8973,0.6891,116.95
09-02-16,2,16005.41,16136.62,15881.11,16014.38,127740000,963.9,9187.79,4268.76,1852.21,5632.2,1189.13,16085.44,6.5639,0.8937,0.6927,115.668
10-02-16,2,16035.61,16201.89,15899.91,15914.74,122290000,963.48,9176.72,4283.59,1851.86,5672.3,1197.12,15713.39,6.5639,0.8857,0.6913,115.191
11-02-16,1,15897.82,15897.82,15503.01,15660.18,172070000,953.72,9029.88,4266.84,1829.08,5537,1246.7,,6.5639,0.8864,0.6884,113.252
12-02-16,1,15691.62,15974.04,15691.62,15973.84,132550000,971.99,9229.68,4337.51,1864.78,5707.6,1237.97,14952.61,6.5639,0.8835,0.6905,112.497
16-02-16,1,16012.39,16196.41,16012.39,16196.41,142030000,995.8,9375.39,4435.96,1895.58,5862.2,1200.44,16054.43,6.4862,0.8949,0.6916,114.322
17-02-16,2,16217.98,16486.12,16217.98,16453.83,124080000,1011.13,9532.28,4534.06,1926.82,6030.3,1208.5,15836.36,6.5069,0.8971,0.6991,114.08
18-02-16,2,16483.76,16511.84,16390.43,16413.43,104950000,1004.71,9504.98,4487.54,1917.83,5972,1230.87,16196.8,6.5183,0.899,0.7002,114.28
19-02-16,1,16410.96,16410.96,16278,16391.99,134340000,1010.01,9485.96,4504.43,1917.78,5950.2,1226.8,15967.17,6.5088,0.9,0.6977,113.25
22-02-16,2,16417.13,16664.24,16417.13,16620.66,102240000,1021.74,9616.32,4570.61,1945.5,6037.7,1208.63,16111.05,6.5124,0.899,0.701,112.489
23-02-16,1,16610.39,16610.39,16403.53,16431.78,98170000,1012.15,9494.32,4503.58,1921.27,5962.3,1226.85,16052.05,6.5118,0.9068,0.7068,112.971
24-02-16,1,16418.84,16507.39,16165.86,16484.99,93620000,1022.08,9506.07,4542.61,1929.8,5867.2,1228.75,15915.79,6.5171,0.9069,0.7136,111.88
25-02-16,2,16504.38,16697.98,16458.42,16697.29,94120000,1031.58,9625.27,4582.2,1951.7,6012.8,1232.91,16140.34,6.5217,0.9079,0.7179,112.101
26-02-16,2,16712.7,16795.98,16623.91,16639.97,98480000,1037.18,9619.79,4590.47,1948.05,6096,1223.46,16188.41,6.5235,0.907,0.716,113.118
29-02-16,1,16634.15,16726.12,16510.4,16516.5,126220000,1033.9,9559.53,4557.95,1932.23,6097.1,1238.67,16026.76,6.5304,0.9154,0.7214,113.66
01-03-16,1,16545.67,16865.56,16545.67,16865.08,105050000,1054.49,9771,4689.6,1978.35,6152.9,1232.15,16085.51,6.544,0.9184,0.718,112.43
02-03-16,1,16851.17,16900.17,16766.32,16899.32,104470000,1065.67,9837.59,4703.42,1986.45,6147.1,1239.98,16746.55,6.5421,0.9195,0.7161,113.93
03-03-16,1,16896.17,16944.31,16820.73,16943.9,91110000,1076.05,9907.97,4707.42,1993.4,6130.5,1264.25,16960.16,6.541,0.9201,0.7102,113.466
04-03-16,1,16945,17062.38,16898.84,17006.77,106910000,1081.93,9968.41,4717.02,1999.99,6199.4,1258.95,17014.78,6.5215,0.9133,0.7055,113.67
07-03-16,2,16991.29,17099.25,16940.48,17073.95,100290000,1094.15,10006.19,4708.25,2001.76,6182.4,1267.33,16911.32,6.4981,0.9096,0.7035,113.803
08-03-16,1,17050.67,17072.79,16921.51,16964.1,108380000,1067.88,9868.52,4648.82,1979.26,6125.4,1261.44,16783.15,6.5068,0.9078,0.7012,113.452
09-03-16,2,16969.17,17048.5,16947.94,17000.36,116690000,1072.77,9924.81,4674.38,1989.26,6146.3,1253.23,16642.2,6.4947,0.9088,0.7038,112.66
10-03-16,1,17006.05,17130.11,16821.86,16995.13,117570000,1063.99,9918.07,4662.16,1989.57,6036.7,1272.25,16852.35,6.503,0.91,0.7039,113.253
11-03-16,1,17014.99,17220.09,17014.99,17213.31,123420000,1087.56,10104.19,4748.47,2022.19,6139.8,1249.45,16938.87,6.4986,0.8946,0.6999,112.86
14-03-16,1,17207.49,17275.07,17161.16,17229.13,96350000,1084.25,10074.27,4750.28,2019.64,6174.6,1235.27,17233.75,6.4853,0.8954,0.6954,113.778
15-03-16,1,17217.15,17251.7,17120.35,17251.53,92830000,1066.67,10013.6,4728.67,2015.93,6140,1232.38,17117.07,6.49,0.9007,0.7002,113.83
16-03-16,1,17249.34,17379.18,17204.07,17325.76,118710000,1074.51,10084.17,4763.97,2027.22,6175.5,1262.57,16974.45,6.5045,0.9002,0.7064,113.105
17-03-16,1,17321.38,17529.01,17297.65,17481.49,117990000,1091.25,10190.4,4774.99,2040.59,6201.1,1257.97,16936.38,6.512,0.8913,0.7015,112.752
18-03-16,1,17481.49,17620.58,17481.49,17602.3,321230000,1101.67,10223.43,4795.65,2049.58,6189.6,1255.4,16724.81,6.465,0.8835,0.6907,111.35
21-03-16,2,17589.7,17644.97,17551.28,17623.87,84410000,1098.58,10219.69,4808.87,2051.6,6184.6,1243.75,,6.4616,0.8866,0.6912,111.445
22-03-16,2,17602.71,17648.94,17540.42,17582.57,95450000,1097.34,10194.2,4821.66,2049.8,6192.7,1248.32,17048.55,6.4746,0.89,0.6959,112.139
23-03-16,1,17588.81,17588.81,17486.27,17502.59,84240000,1075.7,10099.68,4768.86,2036.71,6199.1,1220.11,17000.98,6.4801,0.891,0.703,112.252
